run;base de treinamento;passos de treinamento;numero da iteracao;treinamento - condiÃ§Ã£o de parada;quantidade de episÃ³dios terminais treino;recompensas treino;valor inicial treino;valor final treino;lucro/prejuÃ­zo treino;base de teste;quantidade de dias;numero da iteracao teste;quantidade de episÃ³dios teste;recompensas teste;valor inicial teste;valor final teste;lucro/prejuÃ­zo teste;quantidade de passos teste;;;
1;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;1;0.8;0;1569658207;10000;9480.3846;-519.6154;consolidado_teste (02.05 a 13.05).csv;7;1;0;28359010.95;10000;10000.025;0.025;2836;;;
2;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;2;0.8;0;1613337140;10000;9289.2937;-710.7063;consolidado_teste (02.05 a 13.05).csv;7;2;0;28394505.73;10000;9839.9;-160.1;2836;;;
3;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;3;0.8;0;1887546831;10000;10765.8015;765.8015;consolidado_teste (02.05 a 13.05).csv;7;3;0;28408462.57;10000;9845.765;-154.235;2836;;;
4;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;4;0.8;0;1568113542;10000;8534.8933;-1465.1067;consolidado_teste (02.05 a 13.05).csv;7;4;0;28507279.08;10000;9939.57;-60.43;2836;;;
5;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;5;0.8;0;1655447191;10000;9586.2598;-413.7402;consolidado_teste (02.05 a 13.05).csv;7;5;0;28802254.67;10000;10065.155;65.155;2836;;;
6;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;6;0.8;0;1648071830;10000;10105.2416;105.2416;consolidado_teste (02.05 a 13.05).csv;7;6;0;28425435.62;10000;10041.64;41.64;2836;;;
7;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;7;0.8;0;1678577022;10000;10004.1788;4.1788;consolidado_teste (02.05 a 13.05).csv;7;7;0;28357590.24;10000;10000.13;0.13;2836;;;
8;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;8;0.8;0;1530227631;10000;9179.2218;-820.7782;consolidado_teste (02.05 a 13.05).csv;7;8;0;28390587.05;10000;9838.645;-161.355;2836;;;
9;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;9;0.8;0;1602131366;10000;9948.0694;-51.9306;consolidado_teste (02.05 a 13.05).csv;7;9;0;28314407.07;10000;9969.2;-30.8;2836;;;
10;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;10;0.8;0;1647435088;10000;10119.7272;119.7272;consolidado_teste (02.05 a 13.05).csv;7;10;0;28360000;10000;10000;0;2836;;;
