run,base de treinamento,passos de treinamento,numero da iteracao,treinamento - condição de parada,quantidade de episódios terminais treino,recompensas treino,valor inicial treino,valor final treino,lucro/prejuízo treino,base de teste,quantidade de dias,numero da iteracao teste,quantidade de episódios teste,recompensas teste,valor inicial teste,valor final teste,lucro/prejuízo teste,quantidade de passos teste
1,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,1,0.8,0,5.390000000000327,0.0,-1837.4867000000531,-1837.4867000000531,consolidado_teste (02.05 a 13.05).csv,7,1,0,1.889999999999418,0.0,-166.84999999999854,-166.84999999999854,2836
2,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,2,0.8,0,6.489999999999782,0.0,-243.71659999984877,-243.71659999984877,consolidado_teste (02.05 a 13.05).csv,7,2,0,1.889999999999418,0.0,-186.76999999998407,-186.76999999998407,2836
3,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,3,0.8,0,0.0,0.0,-25.587599999911617,-25.587599999911617,consolidado_teste (02.05 a 13.05).csv,7,3,0,0.0,0.0,-1.8049999999994384,-1.8049999999994384,2836
4,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,4,0.8,0,5.940000000000509,0.0,-1055.6655000001665,-1055.6655000001665,consolidado_teste (02.05 a 13.05).csv,7,4,0,1.319999999999709,0.0,-21.375000000010914,-21.375000000010914,2836
5,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,5,0.8,0,2.0900000000006003,0.0,256.925700000063,256.925700000063,consolidado_teste (02.05 a 13.05).csv,7,5,0,0.0,0.0,0.0,0.0,2836
6,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,6,0.8,0,0.5500000000004093,0.0,703.2912999998807,703.2912999998807,consolidado_teste (02.05 a 13.05).csv,7,6,0,1.5900000000001455,0.0,-114.43500000000131,-114.43500000000131,2836
7,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,7,0.8,0,6.380000000000109,0.0,-306.1926999999587,-306.1926999999587,consolidado_teste (02.05 a 13.05).csv,7,7,0,0.7200000000002547,0.0,-99.9850000000024,-99.9850000000024,2836
8,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,8,0.8,0,3.9600000000000364,0.0,-803.4986000000363,-803.4986000000363,consolidado_teste (02.05 a 13.05).csv,7,8,0,1.3500000000003638,0.0,-187.86500000002434,-187.86500000002434,2836
9,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,9,0.8,0,4.547473508864641e-13,0.0,471.4369999999308,471.4369999999308,consolidado_teste (02.05 a 13.05).csv,7,9,0,0.0,0.0,-65.23000000000292,-65.23000000000292,2836
10,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,10,0.8,0,6.050000000001091,0.0,134.35670000006394,134.35670000006394,consolidado_teste (02.05 a 13.05).csv,7,10,0,1.589999999999236,0.0,20.985000000012406,20.985000000012406,2836
